k,accuracy,CPU_time
"[5, 7]",0.76215,377.09375
"[3, 5]",0.65315,342.4375
"[4, 8]",0.90255,440.953125
"[8, 9]",0.985,502.953125
"[3, 9]",0.9854,403.21875
"[5, 9]",0.98475,469.5625
"[7, 9]",0.9846,473.390625
"[3, 6, 9]",0.98195,530.609375
"[5, 7, 9]",0.9814,590.421875
