k,accuracy,CPU_time
3,0.48545,88.0625
4,0.51195,113.71875
5,0.52525,140.390625
6,0.53505,274.78125
7,0.54475,2562.8125
8,0.56135,13881.28125
9,0.60175,45837.34375
