specie,number
Baumannia,295
Psychromonas,20
Sphingomonas,77
Roseiflexus,377
Hydrogenobaculum,100
Alteromonas,276
Denitrovibrio,111
Frankia,16
Candidatus,345
Corynebacterium,259
