specie,number
Baumannia,1998
Psychromonas,2053
Sphingomonas,2005
Roseiflexus,2004
Hydrogenobaculum,2010
Alteromonas,2013
Denitrovibrio,2013
Frankia,1942
Candidatus,1922
Corynebacterium,2040
